Date ,Branch,Inv. No.,Item Code,Sales Qty.,State,Status,Star rating,Tonnage,Technology
10-02-2022 00:00,CHENNAI,2133017998,RKL50UV16V,3,Tamil Nadu,Continue,3 Star,1.5,Inv
11-02-2022 00:00,CHENNAI,2106020052,RE60UV16U2,50,Tamil Nadu,Continue,1 Star,1.8,Non Inv
11-02-2022 00:00,CHENNAI,2133018055,RKL35UV16W,25,Tamil Nadu,Continue,3 Star,1,Inv
11-02-2022 00:00,CHENNAI,2133018041,RKL50UV16V,1,Tamil Nadu,Continue,3 Star,1.5,Inv
11-02-2022 00:00,CHENNAI,2133018043,RKL50UV16V,1,Tamil Nadu,Continue,3 Star,1.5,Inv
11-02-2022 00:00,CHENNAI,2133018055,RKL50UV16V,25,Tamil Nadu,Continue,3 Star,1.5,Inv
11-02-2022 00:00,CHENNAI,2133018041,RL50UV16V3,2,Tamil Nadu,Continue,3 Star,1.5,Non Inv
11-02-2022 00:00,CHENNAI,2133018042,RL50UV16V3,2,Tamil Nadu,Continue,3 Star,1.5,Non Inv
11-02-2022 00:00,CHENNAI,2133018043,RL50UV16V3,2,Tamil Nadu,Continue,3 Star,1.5,Non Inv
12-02-2022 00:00,CHENNAI,2133018123,RKL50UV16V,2,Tamil Nadu,Continue,3 Star,1.5,Inv
12-02-2022 00:00,CHENNAI,2133018123,RL35UV16W1,2,Tamil Nadu,Continue,3 Star,1,Non Inv
12-02-2022 00:00,CHENNAI,2133018099,RL50UV16U3,5,Tamil Nadu,Continue,3 Star,1.5,Non Inv
12-02-2022 00:00,CHENNAI,2133018123,RL50UV16V3,3,Tamil Nadu,Continue,3 Star,1.5,Non Inv
14-02-2022 00:00,CHENNAI,2121002766,RE60UV16U2,7,Tamil Nadu,Continue,1 Star,1.8,Non Inv
14-02-2022 00:00,CHENNAI,2133018230,RKL35UV16W,2,Tamil Nadu,Continue,3 Star,1,Inv
14-02-2022 00:00,CHENNAI,2133018230,RKL50UV16V,5,Tamil Nadu,Continue,3 Star,1.5,Inv
14-02-2022 00:00,CHENNAI,2133018210,RKL71UV16T,1,Tamil Nadu,Continue,3 Star,2.2,Inv
14-02-2022 00:00,CHENNAI,2133018228,RKL71UV16T,1,Tamil Nadu,Continue,3 Star,2.2,Inv
14-02-2022 00:00,CHENNAI,2133018229,RKL71UV16T,1,Tamil Nadu,Continue,3 Star,2.2,Inv
14-02-2022 00:00,CHENNAI,2121002762,RL35UV16W1,6,Tamil Nadu,Continue,3 Star,1,Non Inv
14-02-2022 00:00,CHENNAI,2133018207,RL35UV16W1,10,Tamil Nadu,Continue,3 Star,1,Non Inv
14-02-2022 00:00,CHENNAI,2133018208,RL35UV16W1,15,Tamil Nadu,Continue,3 Star,1,Non Inv
14-02-2022 00:00,CHENNAI,2133018212,RL35UV16W1,3,Tamil Nadu,Continue,3 Star,1,Non Inv
14-02-2022 00:00,CHENNAI,2133018213,RL35UV16W1,3,Tamil Nadu,Continue,3 Star,1,Non Inv
14-02-2022 00:00,CHENNAI,2133018214,RL35UV16W1,10,Tamil Nadu,Continue,3 Star,1,Non Inv
14-02-2022 00:00,CHENNAI,2133018215,RL35UV16W1,10,Tamil Nadu,Continue,3 Star,1,Non Inv
14-02-2022 00:00,CHENNAI,2133018216,RL35UV16W1,10,Tamil Nadu,Continue,3 Star,1,Non Inv
14-02-2022 00:00,CHENNAI,2133018217,RL35UV16W1,10,Tamil Nadu,Continue,3 Star,1,Non Inv
14-02-2022 00:00,CHENNAI,2133018218,RL35UV16W1,5,Tamil Nadu,Continue,3 Star,1,Non Inv
14-02-2022 00:00,CHENNAI,2133018231,RL35UV16W1,5,Tamil Nadu,Continue,3 Star,1,Non Inv
14-02-2022 00:00,CHENNAI,2121002762,RL50UV16V3,2,Tamil Nadu,Continue,3 Star,1.5,Non Inv
14-02-2022 00:00,CHENNAI,2133018239,RL50UV16V3,40,Tamil Nadu,Continue,3 Star,1.5,Non Inv
15-02-2022 00:00,CHENNAI,2133018259,RKL35UV16W,2,Tamil Nadu,Continue,3 Star,1,Inv
15-02-2022 00:00,CHENNAI,2133018278,RKL35UV16W,1,Tamil Nadu,Continue,3 Star,1,Inv
15-02-2022 00:00,CHENNAI,2133018259,RKL50UV16V,2,Tamil Nadu,Continue,3 Star,1.5,Inv
